link;price;title;title_short;annotation;diameter;width;et;type;dia;retail_price;brand;img;img_full;seller;pcd;holes
https://baza.drom.ru/vladivostok/wheel/disc/new-dipovye-volk-racing-te37-sl-r18-9j-10j-11j-5-114.3-60825976.html;28900;NEW! Диповые Volk Racing TE37 SL R18 9j/10j/11j 5*114.3;Volk Racing TE37 SL (диповые);"10.0/11.0x18"", 5x114.30, ET18/18, ЦО 73,1мм.";18.0;10.0;18.0;Литой;73.1;33900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1518005907891_bulletin;https://static.baza.farpost.ru/drom/1518005907891_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-dipovye-volk-racing-te37-sl-r18-9j-10j-11j-5-114.3-60825976.html;28900;NEW! Диповые Volk Racing TE37 SL R18 9j/10j/11j 5*114.3;Volk Racing TE37 SL (диповые);"10.0/11.0x18"", 5x114.30, ET18/18, ЦО 73,1мм.";18.0;10.0;18.0;Литой;73.1;33900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1518005907891_bulletin;https://static.baza.farpost.ru/drom/1518005907891_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-dipovye-volk-racing-te37-sl-r18-9j-10j-11j-5-114.3-60825976.html;28900;NEW! Диповые Volk Racing TE37 SL R18 9j/10j/11j 5*114.3;Volk Racing TE37 SL (диповые);"10.0/11.0x18"", 5x114.30, ET18/18, ЦО 73,1мм.";18.0;11.0;18.0;Литой;73.1;33900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1518005907891_bulletin;https://static.baza.farpost.ru/drom/1518005907891_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-dipovye-volk-racing-te37-sl-r18-9j-10j-11j-5-114.3-60825976.html;28900;NEW! Диповые Volk Racing TE37 SL R18 9j/10j/11j 5*114.3;Volk Racing TE37 SL (диповые);"10.0/11.0x18"", 5x114.30, ET18/18, ЦО 73,1мм.";18.0;11.0;18.0;Литой;73.1;33900;ROTA VOLK RACING TE37 SL;https://static.baza.farpost.ru/drom/1518005907891_bulletin;https://static.baza.farpost.ru/drom/1518005907891_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-raznoshirokie-advan-rg2-r18-9.0-10.0-j-5-114.3-e004-e005-66113178.html;31900;NEW! Разноширокие Advan RG2 R18 9.0/10.0j 5*114.3 (E004* E005*);Advan RG2;"9.0/10.0x18"", 5x114.30, ET25/25, ЦО 73,0мм.";18.0;9.0;25.0;Литой;73.0;36900;Advan Racing RGII;https://static.baza.farpost.ru/drom/1535724430527_bulletin;https://static.baza.farpost.ru/drom/1535724430527_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-raznoshirokie-advan-rg2-r18-9.0-10.0-j-5-114.3-e004-e005-66113178.html;31900;NEW! Разноширокие Advan RG2 R18 9.0/10.0j 5*114.3 (E004* E005*);Advan RG2;"9.0/10.0x18"", 5x114.30, ET25/25, ЦО 73,0мм.";18.0;9.0;25.0;Литой;73.0;36900;Advan Racing RGII;https://static.baza.farpost.ru/drom/1535724430527_bulletin;https://static.baza.farpost.ru/drom/1535724430527_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-raznoshirokie-advan-rg2-r18-9.0-10.0-j-5-114.3-e004-e005-66113178.html;31900;NEW! Разноширокие Advan RG2 R18 9.0/10.0j 5*114.3 (E004* E005*);Advan RG2;"9.0/10.0x18"", 5x114.30, ET25/25, ЦО 73,0мм.";18.0;10.0;25.0;Литой;73.0;36900;Advan Racing RGII;https://static.baza.farpost.ru/drom/1535724430527_bulletin;https://static.baza.farpost.ru/drom/1535724430527_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-raznoshirokie-advan-rg2-r18-9.0-10.0-j-5-114.3-e004-e005-66113178.html;31900;NEW! Разноширокие Advan RG2 R18 9.0/10.0j 5*114.3 (E004* E005*);Advan RG2;"9.0/10.0x18"", 5x114.30, ET25/25, ЦО 73,0мм.";18.0;10.0;25.0;Литой;73.0;36900;Advan Racing RGII;https://static.baza.farpost.ru/drom/1535724430527_bulletin;https://static.baza.farpost.ru/drom/1535724430527_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-xxr-527-r18-8.75-9.75-j-et-30-20-5-114.3-100-h022-h023-49698752.html;32900;NEW! XXR 527 R18 8.75 / 9.75j ET+30/+20 5*114.3/100 (H022-H023);XXR 527;"8.75/9.75x18"", 5x100.00, 5x114.30, ET30/20, ЦО 73,0мм.";18.0;8.75;30.0;Литой;73.0;37900;XXR;https://static.baza.farpost.ru/drom/1511343512034_bulletin;https://static.baza.farpost.ru/drom/1511343512034_default;Aniku;100.0;5
https://baza.drom.ru/vladivostok/wheel/disc/new-xxr-527-r18-8.75-9.75-j-et-30-20-5-114.3-100-h022-h023-49698752.html;32900;NEW! XXR 527 R18 8.75 / 9.75j ET+30/+20 5*114.3/100 (H022-H023);XXR 527;"8.75/9.75x18"", 5x100.00, 5x114.30, ET30/20, ЦО 73,0мм.";18.0;8.75;30.0;Литой;73.0;37900;XXR;https://static.baza.farpost.ru/drom/1511343512034_bulletin;https://static.baza.farpost.ru/drom/1511343512034_default;Aniku;114.3;5
https://baza.drom.ru/vladivostok/wheel/disc/new-xxr-527-r18-8.75-9.75-j-et-30-20-5-114.3-100-h022-h023-49698752.html;32900;NEW! XXR 527 R18 8.75 / 9.75j ET+30/+20 5*114.3/100 (H022-H023);XXR 527;"8.75/9.75x18"", 5x100.00, 5x114.30, ET30/20, ЦО 73,0мм.";18.0;8.75;20.0;Литой;73.0;37900;XXR;https://static.baza.farpost.ru/drom/1511343512034_bulletin;https://static.baza.farpost.ru/drom/1511343512034_default;Aniku;100.0;5
